trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,reimbursement_per_day,log1p_reimbursement_per_day,miles_x_duration,receipts_x_duration,miles_x_receipts,miles_per_receipt,receipts_per_mile,preds,day_bucket,predicted_output,error
3,93.0,1.42,364.51,31.0,0.47333333333333333,121.50333333333333,4.808138240498926,279.0,4.26,132.06,65.49295774647888,0.015268817204301075,367.8856506347656,3-5,367.89,3.3799999999999955
1,55.0,3.6,126.06,55.0,3.6,126.06,4.844659415838387,55.0,3.6,198.0,15.277777777777777,0.06545454545454546,143.19522094726562,1-2,143.2,17.139999999999986
1,47.0,17.97,128.91,47.0,17.97,128.91,4.866841903007641,47.0,17.97,844.5899999999999,2.6154702281580415,0.3823404255319149,139.86111450195312,1-2,139.86,10.950000000000017
2,13.0,4.67,203.52,6.5,2.335,101.76,4.632396172241683,26.0,9.34,60.71,2.78372591006424,0.35923076923076924,169.0869598388672,1-2,169.09,34.43000000000001
3,88.0,5.78,380.37,29.333333333333332,1.9266666666666667,126.79,4.850388291620612,264.0,17.34,508.64000000000004,15.224913494809687,0.06568181818181819,383.63397216796875,3-5,383.63,3.259999999999991
1,76.0,13.74,158.35,76.0,13.74,158.35,5.0711030408633455,76.0,13.74,1044.24,5.531295487627365,0.18078947368421053,153.84779357910156,1-2,153.85,4.5
3,41.0,4.52,320.12,13.666666666666666,1.5066666666666666,106.70666666666666,4.679411482587048,123.0,13.559999999999999,185.32,9.070796460176991,0.11024390243902438,309.97222900390625,3-5,309.97,10.149999999999977
1,140.0,22.71,199.68,140.0,22.71,199.68,5.301711599616052,140.0,22.71,3179.4,6.164685160722149,0.16221428571428573,188.35545349121094,1-2,188.36,11.319999999999993
3,121.0,21.17,464.07,40.333333333333336,7.0566666666666675,154.69,5.047866850701583,363.0,63.510000000000005,2561.57,5.7156353330184215,0.17495867768595041,405.9761047363281,3-5,405.98,58.089999999999975
3,117.0,21.99,359.1,39.0,7.329999999999999,119.7,4.793308128103486,351.0,65.97,2572.83,5.320600272851296,0.18794871794871792,389.0826721191406,3-5,389.08,29.97999999999996
2,202.0,21.24,356.17,101.0,10.62,178.085,5.187860553465462,404.0,42.48,4290.48,9.510357815442562,0.10514851485148514,322.5503845214844,1-2,322.55,33.620000000000005
3,80.0,21.05,366.87,26.666666666666668,7.016666666666667,122.29,4.814539303880461,240.0,63.150000000000006,1684.0,3.8004750593824226,0.263125,378.8032531738281,3-5,378.8,11.930000000000007
2,21.0,20.04,204.58,10.5,10.02,102.29,4.637540566018542,42.0,40.08,420.84,1.0479041916167666,0.9542857142857143,203.5623321533203,1-2,203.56,1.0200000000000102
3,177.0,18.73,430.86,59.0,6.243333333333333,143.62,4.974109612746806,531.0,56.19,3315.21,9.450080085424453,0.10581920903954803,431.6220703125,3-5,431.62,0.7599999999999909
1,141.0,10.15,195.14,141.0,10.15,195.14,5.2788286899641745,141.0,10.15,1431.15,13.891625615763546,0.07198581560283689,196.27821350097656,1-2,196.28,1.1400000000000148
1,58.0,5.86,117.24,58.0,5.86,117.24,4.772716457199891,58.0,5.86,339.88,9.897610921501705,0.10103448275862069,142.9517059326172,1-2,142.95,25.709999999999994
1,133.0,8.34,179.06,133.0,8.34,179.06,5.193290128680331,133.0,8.34,1109.22,15.947242206235012,0.06270676691729324,170.92445373535156,1-2,170.92,8.140000000000015
