trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,reimbursement_per_day,log1p_reimbursement_per_day,miles_x_duration,receipts_x_duration,miles_x_receipts,miles_per_receipt,receipts_per_mile,miles_per_day_x_receipts_per_day,miles_per_day_x_miles_per_receipt,miles_per_day_x_receipts_per_mile,receipts_per_day_x_miles_per_receipt,receipts_per_day_x_receipts_per_mile,miles_per_receipt_x_receipts_per_mile,predicted_output,error
3,93.0,1.42,364.51,31.0,0.47333333333333333,121.50333333333333,4.808138240498926,279.0,4.26,132.06,65.49295774647888,0.015268817204301075,14.673333333333334,2030.2816901408453,0.47333333333333333,31.000000000000004,0.007227240143369175,1.0,-22.42,386.93
1,55.0,3.6,126.06,55.0,3.6,126.06,4.844659415838387,55.0,3.6,198.0,15.277777777777777,0.06545454545454546,198.0,840.2777777777777,3.6,55.0,0.23563636363636367,1.0,118.07,7.990000000000009
1,47.0,17.97,128.91,47.0,17.97,128.91,4.866841903007641,47.0,17.97,844.5899999999999,2.6154702281580415,0.3823404255319149,844.5899999999999,122.92710072342796,17.97,47.0,6.87065744680851,1.0000000000000002,195.43,66.52000000000001
2,13.0,4.67,203.52,6.5,2.335,101.76,4.632396172241683,26.0,9.34,60.71,2.78372591006424,0.35923076923076924,15.1775,18.09421841541756,2.335,6.5,0.8388038461538462,1.0,238.88,35.359999999999985
3,88.0,5.78,380.37,29.333333333333332,1.9266666666666667,126.79,4.850388291620612,264.0,17.34,508.64000000000004,15.224913494809687,0.06568181818181819,56.51555555555556,446.5974625144175,1.9266666666666667,29.333333333333332,0.1265469696969697,1.0,270.89,109.48000000000002
1,76.0,13.74,158.35,76.0,13.74,158.35,5.0711030408633455,76.0,13.74,1044.24,5.531295487627365,0.18078947368421053,1044.24,420.37845705967976,13.74,76.0,2.4840473684210527,1.0,185.07,26.72
3,41.0,4.52,320.12,13.666666666666666,1.5066666666666666,106.70666666666666,4.679411482587048,123.0,13.559999999999999,185.32,9.070796460176991,0.11024390243902438,20.591111111111108,123.96755162241888,1.5066666666666664,13.666666666666666,0.16610081300813007,0.9999999999999999,276.75,43.370000000000005
1,140.0,22.71,199.68,140.0,22.71,199.68,5.301711599616052,140.0,22.71,3179.4,6.164685160722149,0.16221428571428573,3179.4,863.0559225011009,22.71,140.0,3.6838864285714292,1.0,205.49,5.810000000000002
3,121.0,21.17,464.07,40.333333333333336,7.0566666666666675,154.69,5.047866850701583,363.0,63.510000000000005,2561.57,5.7156353330184215,0.17495867768595041,284.61888888888893,230.53062509840967,7.0566666666666675,40.333333333333336,1.2346250688705236,0.9999999999999999,354.99,109.07999999999998
3,117.0,21.99,359.1,39.0,7.329999999999999,119.7,4.793308128103486,351.0,65.97,2572.83,5.320600272851296,0.18794871794871792,285.86999999999995,207.50341064120053,7.329999999999999,38.99999999999999,1.3776641025641023,0.9999999999999999,355.22,3.8799999999999955
2,202.0,21.24,356.17,101.0,10.62,178.085,5.187860553465462,404.0,42.48,4290.48,9.510357815442562,0.10514851485148514,1072.62,960.5461393596988,10.62,101.0,1.1166772277227721,1.0,311.84,44.33000000000004
3,80.0,21.05,366.87,26.666666666666668,7.016666666666667,122.29,4.814539303880461,240.0,63.150000000000006,1684.0,3.8004750593824226,0.263125,187.11111111111111,101.34600158353128,7.016666666666667,26.666666666666664,1.8462604166666667,0.9999999999999999,340.81,26.060000000000002
2,21.0,20.04,204.58,10.5,10.02,102.29,4.637540566018542,42.0,40.08,420.84,1.0479041916167666,0.9542857142857143,105.21,11.00299401197605,10.02,10.500000000000002,9.561942857142856,1.0000000000000002,261.9,57.319999999999965
3,177.0,18.73,430.86,59.0,6.243333333333333,143.62,4.974109612746806,531.0,56.19,3315.21,9.450080085424453,0.10581920903954803,368.3566666666667,557.5547250400427,6.243333333333334,59.0,0.6606645951035782,1.0,367.32,63.54000000000002
1,141.0,10.15,195.14,141.0,10.15,195.14,5.2788286899641745,141.0,10.15,1431.15,13.891625615763546,0.07198581560283689,1431.15,1958.71921182266,10.15,141.0,0.7306560283687944,1.0,159.75,35.389999999999986
1,58.0,5.86,117.24,58.0,5.86,117.24,4.772716457199891,58.0,5.86,339.88,9.897610921501705,0.10103448275862069,339.88,574.0614334470989,5.86,58.0,0.5920620689655173,0.9999999999999999,150.86,33.62000000000002
1,133.0,8.34,179.06,133.0,8.34,179.06,5.193290128680331,133.0,8.34,1109.22,15.947242206235012,0.06270676691729324,1109.22,2120.9832134292565,8.34,133.0,0.5229744360902256,1.0,145.34,33.72
1,59.0,8.31,120.65,59.0,8.31,120.65,4.801148069229532,59.0,8.31,490.29,7.099879663056558,0.14084745762711864,490.29,418.8929001203369,8.31,59.0,1.170442372881356,0.9999999999999999,168.32,47.66999999999999
2,89.0,13.85,234.2,44.5,6.925,117.1,4.771531723203316,178.0,27.7,1232.6499999999999,6.425992779783393,0.1556179775280899,308.16249999999997,285.956678700361,6.925000000000001,44.5,1.0776544943820225,1.0,263.13,28.930000000000007
2,147.0,17.43,325.56,73.5,8.715,162.78,5.098524063842042,294.0,34.86,2562.21,8.433734939759036,0.11857142857142856,640.5525,619.8795180722892,8.715,73.5,1.03335,0.9999999999999999,285.39,40.170000000000016
5,130.0,306.9,574.1,26.0,61.379999999999995,114.82000000000001,4.752037261797644,650.0,1534.5,39897.0,0.42359074617139136,2.3607692307692307,1595.8799999999999,11.013359400456176,61.379999999999995,26.0,144.90401538461538,1.0,650.38,76.27999999999997
