trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,reimbursement_per_day,log1p_miles_per_day,log1p_receipts_per_day,log1p_reimbursement_per_day,log1p_miles_per_day_x_log1p_receipts_per_day,log1p_miles_per_day_x_miles_per_day,log1p_miles_per_day_x_receipts_per_day,log1p_miles_per_day_x_trip_duration_days,log1p_receipts_per_day_x_miles_per_day,log1p_receipts_per_day_x_receipts_per_day,log1p_receipts_per_day_x_trip_duration_days,miles_per_day_x_receipts_per_day,miles_per_day_x_trip_duration_days,receipts_per_day_x_trip_duration_days
3,93.0,1.42,364.51,31.0,0.47333333333333333,121.50333333333333,3.4657359027997265,0.38752740742149705,4.808138240498926,1.3430676492195794,107.43781298679153,1.640448327325204,10.39720770839918,12.013349630066408,0.18342963951284194,1.1625822222644913,14.673333333333334,93.0,1.42
1,55.0,3.6,126.06,55.0,3.6,126.06,4.02535169073515,1.5260563034950494,4.844659415838387,6.14291332143083,221.39434299043324,14.491266086646538,4.02535169073515,83.93309669222772,5.493802692582178,1.5260563034950494,198.0,55.0,3.6
1,47.0,17.97,128.91,47.0,17.97,128.91,3.871201010907891,2.9428587839469227,4.866841903007641,11.392397899374494,181.9464475126709,69.5654821660148,3.871201010907891,138.31436284550537,52.8831723475262,2.9428587839469227,844.5899999999999,47.0,17.97
2,13.0,4.67,203.52,6.5,2.335,101.76,2.0149030205422647,1.204472679367587,4.632396172241683,2.426895639818386,13.09686963352472,4.704798552966188,4.029806041084529,7.829072415889316,2.812443706323316,2.408945358735174,15.1775,13.0,4.67
3,88.0,5.78,380.37,29.333333333333332,1.9266666666666667,126.79,3.41224721784874,1.0738641189789155,4.850388291620612,3.664289852333393,100.09258505689637,6.57426297305524,10.23674165354622,31.500014156714855,2.068978202566044,3.2215923569367466,56.51555555555556,88.0,5.78
1,76.0,13.74,158.35,76.0,13.74,158.35,4.343805421853684,2.6905648867611904,5.0711030408633455,11.687290342962402,330.12921206088,59.68388649626962,4.343805421853684,204.48293139385046,36.968361544098755,2.6905648867611904,1044.24,76.0,13.74
3,41.0,4.52,320.12,13.666666666666666,1.5066666666666666,106.70666666666666,2.6855773452501515,0.9189538492936388,4.679411482587048,2.467921638993418,36.702890385085404,4.046269866843561,8.056732035750453,12.559035940346396,1.3845571329357491,2.7568615478809164,20.591111111111108,41.0,4.52
1,140.0,22.71,199.68,140.0,22.71,199.68,4.948759890378168,3.165896900077314,5.301711599616052,15.667263596175191,692.8263846529436,112.38633711048821,4.948759890378168,443.22556601082397,71.8975186007558,3.165896900077314,3179.4,140.0,22.71
3,121.0,21.17,464.07,40.333333333333336,7.0566666666666675,154.69,3.721669276936927,2.086499906047282,5.047866850701583,7.765262596667954,150.10732750312275,26.262579530918252,11.165007830810781,84.15549621057372,14.723734337006988,6.259499718141846,284.61888888888893,121.0,21.17
3,117.0,21.99,359.1,39.0,7.329999999999999,119.7,3.6888794541139363,2.1198634561787513,4.793308128103486,7.819920749024754,143.86629871044352,27.03948639865515,11.06663836234181,82.6746747909713,15.538599133790244,6.359590368536254,285.86999999999995,117.0,21.99
2,202.0,21.24,356.17,101.0,10.62,178.085,4.624972813284271,2.4527277514237653,5.187860553465462,11.343799168722775,467.1222541417113,49.11721127707895,9.249945626568541,247.7255028938003,26.047968720120387,4.905455502847531,1072.62,202.0,21.24
3,80.0,21.05,366.87,26.666666666666668,7.016666666666667,122.29,3.3202283191284883,2.0815227078836607,4.814539303880461,6.911130641624346,88.53942184342635,23.29693537255156,9.960684957385464,55.50727221023095,14.605351000317018,6.244568123650982,187.11111111111111,80.0,21.05
2,21.0,20.04,204.58,10.5,10.02,102.29,2.4423470353692043,2.3997118037247684,4.637540566018542,5.860929009567674,25.644643871376644,24.472317294399424,4.8846940707384086,25.19697393911007,24.04511227332218,4.799423607449537,105.21,21.0,20.04
