trip_duration_days,miles_traveled,total_receipts_amount,expected_output,human_model_output,miles_per_day,receipts_per_day,reimbursement_per_day,log1p_reimbursement_per_day,log1p_miles_traveled,log1p_trip_duration_days,log1p_total_receipts_amount,log1p_miles_per_day,log1p_receipts_per_day,miles_sq,receipts_sq,duration_sq,miles_x_duration,receipts_x_duration,miles_x_receipts,miles_per_receipt,log1p_miles_per_day_x_log1p_receipts_per_day,log1p_miles_per_day_x_miles_per_day,log1p_miles_per_day_x_receipts_per_day,log1p_miles_per_day_x_miles_per_receipt,log1p_receipts_per_day_x_miles_per_day,log1p_receipts_per_day_x_receipts_per_day,log1p_receipts_per_day_x_miles_per_receipt,miles_per_day_x_receipts_per_day,miles_per_day_x_miles_per_receipt,receipts_per_day_x_miles_per_receipt,log1p_miles_per_day_x_trip_duration_days,log1p_receipts_per_day_x_trip_duration_days,predicted_output,error
3,93.0,1.42,364.51,257.6517181727622,31.0,0.47333333333333333,121.50333333333333,4.808138240498926,4.543294782270004,1.3862943611198906,0.883767540168595,3.4657359027997265,0.38752740742149705,8649.0,2.0164,9,279.0,4.26,132.06,65.49295774647888,1.3430676492195794,107.43781298679153,1.640448327325204,226.98129504251733,12.013349630066408,0.18342963951284194,25.380316119858612,14.673333333333334,2030.2816901408453,31.000000000000004,10.39720770839918,1.1625822222644913,364.97,0.4600000000000364
1,55.0,3.6,126.06,262.5700197852986,55.0,3.6,126.06,4.844659415838387,4.02535169073515,0.6931471805599453,1.5260563034950494,4.02535169073515,1.5260563034950494,3025.0,12.96,1,55.0,3.6,198.0,15.277777777777777,6.14291332143083,221.39434299043324,14.491266086646538,61.49842860845367,83.93309669222772,5.493802692582178,23.314749081174366,198.0,840.2777777777777,55.0,4.02535169073515,1.5260563034950494,124.89,1.1700000000000017
1,47.0,17.97,128.91,262.5700197852986,47.0,17.97,128.91,4.866841903007641,3.871201010907891,0.6931471805599453,2.9428587839469227,3.871201010907891,2.9428587839469227,2209.0,322.92089999999996,1,47.0,17.97,844.5899999999999,2.6154702281580415,11.392397899374494,181.9464475126709,69.5654821660148,10.125010991244903,138.31436284550537,52.8831723475262,7.696959535086554,844.5899999999999,122.92710072342796,47.0,3.871201010907891,2.9428587839469227,129.34,0.4300000000000068
2,13.0,4.67,203.52,257.6290524299973,6.5,2.335,101.76,4.632396172241683,2.6390573296152584,1.0986122886681098,1.7351891177396608,2.0149030205422647,1.204472679367587,169.0,21.808899999999998,4,26.0,9.34,60.71,2.78372591006424,2.426895639818386,13.09686963352472,4.704798552966188,5.608937744550202,7.829072415889316,2.812443706323316,3.3529218055200496,15.1775,18.09421841541756,6.5,4.029806041084529,2.408945358735174,203.44,0.0800000000000125
3,88.0,5.78,380.37,257.6517181727622,29.333333333333332,1.9266666666666667,126.79,4.850388291620612,4.48863636973214,1.3862943611198906,1.9139771019523042,3.41224721784874,1.0738641189789155,7744.0,33.4084,9,264.0,17.34,508.64000000000004,15.224913494809687,3.664289852333393,100.09258505689637,6.57426297305524,51.9511687146521,31.500014156714855,2.068978202566044,16.349488316634005,56.51555555555556,446.5974625144175,29.333333333333332,10.23674165354622,3.2215923569367466,358.57,21.80000000000001
1,76.0,13.74,158.35,262.5700197852986,76.0,13.74,158.35,5.0711030408633455,4.343805421853684,0.6931471805599453,2.6905648867611904,4.343805421853684,2.6905648867611904,5776.0,188.7876,1,76.0,13.74,1044.24,5.531295487627365,11.687290342962402,330.12921206088,59.68388649626962,24.026871329030566,204.48293139385046,36.968361544098755,14.882309417310806,1044.24,420.37845705967976,76.0,4.343805421853684,2.6905648867611904,158.28,0.06999999999999318
3,41.0,4.52,320.12,257.6517181727622,13.666666666666666,1.5066666666666666,106.70666666666666,4.679411482587048,3.7376696182833684,1.3862943611198906,1.7083778602890038,2.6855773452501515,0.9189538492936388,1681.0,20.430399999999995,9,123.0,13.559999999999999,185.32,9.070796460176991,2.467921638993418,36.702890385085404,4.046269866843561,24.360325476826596,12.559035940346396,1.3845571329357491,8.33564332323876,20.591111111111108,123.96755162241888,13.666666666666666,8.056732035750453,2.7568615478809164,320.02,0.10000000000002274
1,140.0,22.71,199.68,262.5700197852986,140.0,22.71,199.68,5.301711599616052,4.948759890378168,0.6931471805599453,3.165896900077314,4.948759890378168,3.165896900077314,19600.0,515.7441,1,140.0,22.71,3179.4,6.164685160722149,15.667263596175191,692.8263846529436,112.38633711048821,30.507546660191263,443.22556601082397,71.8975186007558,19.51675764028287,3179.4,863.0559225011009,140.0,4.948759890378168,3.165896900077314,199.6,0.0800000000000125
3,121.0,21.17,464.07,257.6517181727622,40.333333333333336,7.0566666666666675,154.69,5.047866850701583,4.804021044733257,1.3862943611198906,3.09874002362822,3.721669276936927,2.086499906047282,14641.0,448.16890000000006,9,363.0,63.510000000000005,2561.57,5.7156353330184215,7.765262596667954,150.10732750312275,26.262579530918252,21.27170441706982,84.15549621057372,14.723734337006988,11.925672585343461,284.61888888888893,230.53062509840967,40.333333333333336,11.165007830810781,6.259499718141846,367.01,97.06
3,117.0,21.99,359.1,257.6517181727622,39.0,7.329999999999999,119.7,4.793308128103486,4.770684624465665,1.3862943611198906,3.1350593387750902,3.6888794541139363,2.1198634561787513,13689.0,483.5600999999999,9,351.0,65.97,2572.83,5.320600272851296,7.819920749024754,143.86629871044352,27.03948639865515,19.627053030074148,82.6746747909713,15.538599133790244,11.278946083352155,285.86999999999995,207.50341064120053,38.99999999999999,11.06663836234181,6.359590368536254,359.55,0.44999999999998863
